tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,269673,269673,Sporolactobacillus terrae,Sporolactobacillus terrae,species,0.0,abund,0.0,9802794,91,8,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,270351,270351,Methylobacterium aquaticum,Methylobacterium aquaticum,species,0.0,abund,0.0,7557960,10,3,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,271065,271065,Methylomicrobium alcaliphilum,Methylomicrobium alcaliphilum,species,0.0,abund,0.0,4796711,30,21,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,271097,271097,Shewanella sediminis,Shewanella sediminis,species,0.0,abund,0.0,5517674,34,18,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,271098,271098,Shewanella halifaxensis,Shewanella halifaxensis,species,0.0,abund,0.0,5226917,24,11,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,271865,271865,Ochrobactrum sp. A44,Ochrobactrum sp. A44,species,0.0,abund,0.0,5645291,42,25,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,272131,272131,Nostoc punctiforme,Nostoc punctiforme,species,0.0,abund,0.0,9059191,33,28,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,272774,272774,Halomonas alkaliphila,Halomonas alkaliphila,species,0.0,abund,0.0,4029514,3,3,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,273376,273376,Sphaerochaeta coccoides,Sphaerochaeta coccoides,species,0.0,abund,0.0,2227296,25,13,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,273384,273384,Brevibacterium aurantiacum,Brevibacterium aurantiacum,species,0.0,abund,0.0,25280067,11,3,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,273677,273677,Microbacterium oleivorans,Microbacterium oleivorans,species,0.0,abund,0.0,2996750,1,1,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,274537,274537,Chlorobaculum limnaeum,Chlorobaculum limnaeum,species,0.0,abund,0.0,2797276,58,27,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,274539,274539,Chlorobaculum parvum,Chlorobaculum parvum,species,0.0,abund,0.0,2289249,13,5,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,277988,277988,Thermococcus thioreducens,Thermococcus thioreducens,species,0.0,abund,0.0,2065932,25,25,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,278153,278153,Mesorhizobium sp. WSM1497,Mesorhizobium sp. WSM1497,species,0.0,abund,0.0,7198121,21,9,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,279058,279058,Collimonas arenae,Collimonas arenae,species,0.0,abund,0.0,15078336,120,27,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,279113,279113,Collimonas pratensis,Collimonas pratensis,species,0.0,abund,0.0,11315924,27,12,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,279826,279826,Bacillus foraminis,Bacillus foraminis,species,0.0,abund,0.0,5977666,72,28,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,279828,279828,Microcella alkaliphila,Microcella alkaliphila,species,0.0,abund,0.0,2702837,2,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,280236,280236,Nocardiopsis gilva,Nocardiopsis gilva,species,0.0,abund,0.0,6142152,8,1,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,281093,281093,Chlorobium bathyomarinum,Chlorobium bathyomarinum,species,0.0,abund,0.0,2468479,12,11,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,281120,281120,Candidatus Amoebophilus asiaticus,Candidatus Amoebophilus asiaticus,species,0.0,abund,0.0,1884364,15,14,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,282217,282217,Variovorax sp. SRS16,Variovorax sp. SRS16,species,0.0,abund,0.0,7674934,35,26,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,282676,282676,Acidianus manzaensis,Acidianus manzaensis,species,0.0,abund,0.0,2687463,34,27,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,283675,283675,Clostera anachoreta granulovirus,Clostera anachoreta granulovirus,species,0.0,abund,0.0,101487,3,0,0.0,0.9267020492508667
