taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
963	963	Herbaspirillum	Herbaspirillum	genus	0.0	abund	0.0	5484794	326	256	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
970	970	Selenomonas	Selenomonas	genus	0.0	abund	0.0	2584417	740	684	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
978	978	Cytophaga	Cytophaga	genus	0.0	abund	0.0	4363540	6	6	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
1007	1007	Saprospira	Saprospira	genus	0.0	abund	0.0	4232880	11	6	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
1013	1013	Weeksella	Weeksella	genus	0.0	abund	0.0	2208743	4	4	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
1016	1016	Capnocytophaga	Capnocytophaga	genus	0.0	abund	0.0	2696869	176	117	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
1021	1021	Beggiatoa	Beggiatoa	genus	0.0	abund	0.0	4224291	2	0	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
1030	1030	Thiothrix	Thiothrix	genus	0.0	abund	0.0	3987382	80	80	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
1033	1033	Afipia	Afipia	genus	0.0	abund	0.0	3564895	43	12	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
1041	1041	Erythrobacter	Erythrobacter	genus	0.0	abund	0.0	3247541	146	145	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
