taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
426	426	Methylosinus trichosporium	Methylosinus trichosporium	species	0.0	abund	0.0	5183433	64	51	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
435	435	Acetobacter aceti	Acetobacter aceti	species	0.0	abund	0.0	3725037	41	22	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
438	438	Acetobacter pasteurianus	Acetobacter pasteurianus	species	0.0	abund	0.0	3590557	339	135	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
442	442	Gluconobacter oxydans	Gluconobacter oxydans	species	0.0	abund	0.0	4181963	353	102	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
446	446	Legionella pneumophila	Legionella pneumophila	species	0.0	abund	0.0	12363603	1204	298	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
449	449	Legionella hackeliae	Legionella hackeliae	species	0.0	abund	0.0	3570857	92	87	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
450	450	Legionella longbeachae	Legionella longbeachae	species	0.0	abund	0.0	4149158	222	34	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
451	451	Tatlockia micdadei	Tatlockia micdadei	species	0.0	abund	0.0	9836958	205	29	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
452	452	Legionella spiritensis	Legionella spiritensis	species	0.0	abund	0.0	6755735	146	17	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
454	454	Legionella israelensis	Legionella israelensis	species	0.0	abund	0.0	9344693	282	58	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
456	456	Legionella jordanis	Legionella jordanis	species	0.0	abund	0.0	3133723	78	58	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
470	470	Acinetobacter baumannii	Acinetobacter baumannii	species	0.0	abund	0.0	4233127	2169	218	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
471	471	Acinetobacter calcoaceticus	Acinetobacter calcoaceticus	species	0.0	abund	0.0	8050108	65	24	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
476	476	Moraxella bovis	Moraxella bovis	species	0.0	abund	0.0	2911207	18	3	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
