taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
2862451	2862451	Adhaeretor	Adhaeretor	genus	0.0	abund	0.0	5996859	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2862745	2862745	Pseudobdellovibrio	Pseudobdellovibrio	genus	0.0	abund	0.0	3025045	6	6	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2867376	2867376	Desulfoscipio	Desulfoscipio	genus	0.0	abund	0.0	4558367	25	25	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2870712	2870712	Pararoseomonas	Pararoseomonas	genus	0.0	abund	0.0	5592142	7	7	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2870717	2870717	Pseudoroseomonas	Pseudoroseomonas	genus	0.0	abund	0.0	4625450	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2874214	2874214	Terrihabitans	Terrihabitans	genus	0.0	abund	0.0	3114641	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2881427	2881427	Parasynechococcus	Parasynechococcus	genus	0.0	abund	0.0	2434428	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2883109	2883109	Sandaracinobacteroides	Sandaracinobacteroides	genus	0.0	abund	0.0	3364212	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2883512	2883512	Citrifermentans	Citrifermentans	genus	0.0	abund	0.0	4536821	6	6	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2884243	2884243	Musicola	Musicola	genus	0.0	abund	0.0	4653408	3	0	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2884814	2884814	Pseudoprevotella	Pseudoprevotella	genus	0.0	abund	0.0	2920169	48	48	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2885697	2885697	Gephyromycinifex	Gephyromycinifex	genus	0.0	abund	0.0	3449783	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2886347	2886347	Allocoleopsis	Allocoleopsis	genus	0.0	abund	0.0	7797032	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2886823	2886823	Desulfosediminicola	Desulfosediminicola	genus	0.0	abund	0.0	6202510	10	10	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2886866	2886866	Sinanaerobacter	Sinanaerobacter	genus	0.0	abund	0.0	3370808	14	14	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2888809	2888809	Novisyntrophococcus	Novisyntrophococcus	genus	0.0	abund	0.0	3420321	29	29	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2888818	2888818	Pengzhenrongella	Pengzhenrongella	genus	0.0	abund	0.0	4676863	6	6	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2891294	2891294	Nitrogeniibacter	Nitrogeniibacter	genus	0.0	abund	0.0	4490835	7	7	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2891322	2891322	Parazoarcus	Parazoarcus	genus	0.0	abund	0.0	9459014	8	7	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2891323	2891323	Pseudazoarcus	Pseudazoarcus	genus	0.0	abund	0.0	3225512	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2892396	2892396	Vescimonas	Vescimonas	genus	0.0	abund	0.0	2531083	74	72	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2892397	2892397	Pusillibacter	Pusillibacter	genus	0.0	abund	0.0	3407680	105	105	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
