tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sylph-results/D6331_Qiagen.fastq.sylphmpa,55,30,25,2,0,11.6395,13.525699999999999,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sylph-results/D6331_Zymo.fastq.sylphmpa,47,26,21,0,0,13.6792,15.318700000000002,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_default/ZymoMockD6331_ont_D6331_Zymo.csv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128013_report.tsv,1434,956,478,0,0,98.0018644212769,99.18169012712062,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_default/ZymoMockD6331_pacbio_SRR13128013.csv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128014_report.tsv,1199,803,396,0,0,97.95270186956878,99.14162352717634,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_default/ZymoMockD6331_pacbio_SRR13128014.csv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128013_report.tsv,3443,2569,874,0,0,99.98432778304883,99.98432778304883,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_default/ZymoMockD6331_pacbio_SRR13128013.csv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128014_report.tsv,3126,2333,793,0,0,99.9834397600194,99.9834397600194,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_default/ZymoMockD6331_pacbio_SRR13128014.csv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128013_report.tsv,2972,2093,879,0,0,99.86055999999999,99.95572,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_default/ZymoMockD6331_pacbio_SRR13128013.csv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128014_report.tsv,2427,1696,731,0,0,99.92417,99.90149,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_default/ZymoMockD6331_pacbio_SRR13128014.csv
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128013.tre,54,30,24,0,0,99.44969,99.44969,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_default/ZymoMockD6331_pacbio_SRR13128013.csv
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128014.tre,49,28,21,0,0,99.49679,99.49677999999999,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_default/ZymoMockD6331_pacbio_SRR13128014.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128013-report.csv.summarized.csv,42,25,17,0,0,86.29117312735738,86.29117312735741,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_default/ZymoMockD6331_pacbio_SRR13128013.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128014-report.csv.summarized.csv,40,24,16,0,0,86.12126454249473,86.12126454249477,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_default/ZymoMockD6331_pacbio_SRR13128014.csv
